#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2014 02 28 23 50 168  9.0 11.5  2.81  9.09  6.59 169  995.8  13.0  12.6 999.0 99.0 99.00
2014 03 01 00 50 162  8.8 10.1  3.05  9.09  6.69 173  995.9  12.9  12.6 999.0 99.0 99.00
2014 03 01 01 50 167  9.0 10.7  2.99  9.09  6.63 176  995.9  13.0  12.6 999.0 99.0 99.00
2014 03 01 02 50 149  9.4 11.3  2.69  9.09  6.19 177  996.2  13.0  12.6 999.0 99.0 99.00
2014 03 01 03 50 146 11.5 13.5 99.00 99.00 99.00 999  996.3  13.0  12.7 999.0 99.0 99.00
2014 03 01 04 50 150 12.8 16.2  2.82  9.09  6.32 188  996.1  13.2  12.6 999.0 99.0 99.00
2014 03 01 05 50 145 13.4 16.3  3.18  9.09  6.44 184  996.1  13.2  12.6 999.0 99.0 99.00
2014 03 01 06 50 137 13.3 16.4  3.19  9.09  6.27 184  996.1  13.1  12.6 999.0 99.0 99.00
2014 03 01 07 50 141 14.6 18.8 99.00 99.00 99.00 999  995.7  13.2  12.6 999.0 99.0 99.00
2014 03 01 08 50 138 14.4 17.1 99.00 99.00 99.00 999  995.6  13.2  12.5 999.0 99.0 99.00
2014 03 01 09 50 136 15.0 18.2 99.00 99.00 99.00 999  995.6  13.2  12.5 999.0 99.0 99.00
2014 03 01 10 50 141 14.5 19.3 99.00 99.00 99.00 999  995.2  12.8  12.5 999.0 99.0 99.00
2014 03 01 11 50 133 14.6 17.8 99.00 99.00 99.00 999  994.9  12.9  12.5 999.0 99.0 99.00
2014 03 01 12 50 140 14.8 18.0  6.23 14.81  8.62 243  994.8  13.2  12.5 999.0 99.0 99.00
2014 03 01 13 50 139 14.5 18.0 99.00 99.00 99.00 999  995.4  13.1  12.4 999.0 99.0 99.00
2014 03 01 14 50 145 12.3 15.0  5.98 13.79  8.69 238  996.4  13.2  12.5 999.0 99.0 99.00
2014 03 01 15 50 141 13.4 15.6  5.95 13.79  8.62 235  997.1  13.2  12.5 999.0 99.0 99.00
2014 03 01 16 50 139 11.6 15.7  4.86 12.12  8.16 226  998.7  13.5  12.5 999.0 99.0 99.00
2014 03 01 17 50 137 13.4 16.8  5.01 12.12  8.11 221  999.3  13.2  12.5 999.0 99.0 99.00
2014 03 01 18 50 135 12.0 14.9  4.79 14.81  8.07 237 1001.2  13.4  12.5 999.0 99.0 99.00
2014 03 01 19 50 133 12.7 15.8 99.00 99.00 99.00 999 1001.2  13.2  12.6 999.0 99.0 99.00
2014 03 01 20 50 135 12.3 14.9  4.55 13.79  7.78 241 1002.3  13.2  12.6 999.0 99.0 99.00
2014 03 01 21 50 139  9.9 12.1  3.98 12.12  7.61 218 1003.2  13.3  12.6 999.0 99.0 99.00
2014 03 01 22 50 135 10.0 12.2  4.09 12.12  7.67 236 1003.5  13.4  12.6 999.0 99.0 99.00
