STATION        SITE        AIR_TEMP     ANEMOMETER     BAROMETER
 IDENT      ELEVATION     ELEVATION      ELEVATION     ELEVATION
41001          0              4               5               0
41002          0              4               5               0
41004          0              4               5               0
41008          0              4               5               0
41009          0              4               5               0
41010          0              4               5               0
41013          0              4               5               0
41025          0              4               5               0
41036          0              4               5               0
41040          0              4               5               0
41041          0              4               5               0
41043          0              4               5               0
41044          0              4               5               0
41046          0              4               5               0
41047          0              4               5               0
41048          0              4               5               0
41049          0              4               5               0
42001          0              4               5               0
42002          0              10              10              0
42003          0              4               5               0
42012          0              4               5               0
42019          0              4               5               0
42020          0              4               5               0
42035          0              4               5               0
42036          0              4               5               0
42039          0              4               5               0
42040          0              10              10              0
42055          0              4               5               0
42056          0              4               5               0
42057          0              4               5               0
42058          0              4               5               0
42059          NA             4               5               0
42060          0              4               5               0
44005          0              4               5               0
44007          0              4               5               0
44008          0              4               5               0
44009          0              4               5               0
44011          0              4               5               0
44013          0              4               5               0
44014          0              4               5               0
44017          0              4               5               0
44018          0              4               5               0
44020          0              4               5               0
44025          0              4               5               0
44027          0              4               5               0
44065          0              4               5               0
44066          0              4               5               0
45001          183            4               5               183
45002          176.4          4               5               176.4
45003          177            3.2             3.2             177
45004          183            4               5               183
45005          173.9          4               5               173.9
45006          183            4               5               183
45007          176.4          4               5               176.4
45008          177            4               5               177
45012          74.7           4               5               74.7
46001          0              4               5               0
46002          0              4               5               0
46005          0              4               5               0
46006          0              4               5               0
46011          0              4               5               0
46012          0              4               5               0
46013          0              4               5               0
46014          0              4               5               0
46015          0              4               5               0
46022          0              4               5               0
46025          0              4               5               0
46026          0              4               5               0
46027          0              4               5               0
46028          0              4               5               0
46029          0              4               5               0
46035          0              10              10              0
46041          0              4               5               0
46042          0              4               5               0
46047          0              4               5               0
46050          0              4               5               0
46053          0              4               5               0
46054          0              4               5               0
46059          0              4               5               0
46060          0              4               5               0
46061          0              4               5               0
46066          0              4               5               0
46069          0              4               5               0
46070          0              4               5               0
46071          0              4               5               0
46072          0              4               5               0
46073          0              10              10              0
46075          0              4               5               0
46076          0              4               5               0
46077          0              4               5               0
46078          0              4               5               0
46080          0              4               5               0
46081          0              4               5               0
46082          0              4               5               0
46083          0              4               5               0
46084          0              4               5               0
46085          0              4               5               0
46086          0              4               5               0
46087          0              4               5               0
46088          0              4               5               0
46089          0              4               5               0
46114          0              NA              NA              NA
51000          0              4               5               0
51001          0              4               5               0
51002          0              4               5               0
51003          0              4               5               0
51004          0              4               5               0
51100          0              4               5               0
51101          0              4               5               0
